@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute freq numeric
@attribute amp numeric
@attribute index numeric
@attribute fx numeric
@attribute release numeric
@attribute phase numeric

@data
168,'2023/11/30 15:47:03:384',8,0,0,0,0,0,0,0,0,1,0,698,57,1.105192,1,1,0.72,0.65
169,'2023/11/30 15:47:03:590',8,0,0,0,0,0,0,0,0,1,0,697,57,1.105192,1,1,0.72,0.65
170,'2023/11/30 15:47:03:896',8,0,0,0,0,0,0,0,0,1,0,698,57,1.105192,1,1,0.72,0.65
171,'2023/11/30 15:47:04:102',8,0,0,0,0,0,0,0,0,1,0,697,57,1.105192,1,1,0.72,0.65
172,'2023/11/30 15:47:04:308',8,0,0,0,0,0,0,0,0,1,0,699,57,1.105192,1,1,0.72,0.65
173,'2023/11/30 15:47:04:614',8,0,0,0,0,0,0,0,0,1,0,698,57,1.105192,1,1,0.72,0.65
174,'2023/11/30 15:47:04:819',8,0,0,0,0,0,0,0,0,1,0,698,57,1.105192,1,1,0.72,0.65
175,'2023/11/30 15:47:05:146',8,0,0,0,0,0,0,0,0,1,0,698,57,1.105192,1,1,0.72,0.65
176,'2023/11/30 15:47:05:330',8,0,0,0,0,0,0,0,0,1,0,697,57,1.105192,1,1,0.72,0.65
177,'2023/11/30 15:47:05:638',8,0,0,0,0,0,0,0,0,1,0,699,57,1.105192,1,1,0.72,0.65
178,'2023/11/30 15:47:05:842',8,0,0,0,0,0,0,0,0,1,0,698,57,1.105192,1,1,0.72,0.65
179,'2023/11/30 15:47:06:150',8,0,0,0,0,0,0,0,0,1,0,698,57,1.105192,1,1,0.72,0.65
180,'2023/11/30 15:47:06:355',8,0,0,0,0,0,0,0,0,0,0,697,57,1.105192,1,1,0.72,0.65
181,'2023/11/30 15:47:06:662',8,0,0,0,0,0,0,0,0,0,0,699,57,1.105192,1,1,0.72,0.65
182,'2023/11/30 15:47:06:866',8,0,0,0,0,0,0,0,0,1,0,698,57,1.105192,1,1,0.72,0.65
183,'2023/11/30 15:47:07:071',8,0,0,0,0,0,0,0,0,1,0,697,57,1.105192,1,1,0.72,0.65
184,'2023/11/30 15:47:07:379',8,0,0,0,0,0,0,0,0,1,0,699,57,1.105192,1,1,0.72,0.65
185,'2023/11/30 15:47:07:582',8,0,0,0,0,0,0,0,0,1,0,697,57,1.105192,1,1,0.72,0.65
186,'2023/11/30 15:47:07:891',8,0,0,0,0,0,0,0,0,1,0,697,57,1.105192,1,1,0.72,0.65
187,'2023/11/30 15:47:08:096',8,0,0,0,0,0,0,0,0,1,0,698,57,1.105192,1,1,0.72,0.65
188,'2023/11/30 15:47:08:402',8,0,0,0,0,0,0,0,0,1,0,673,57,1.105192,1,1,0.72,0.65
189,'2023/11/30 15:47:08:608',8,0,0,0,0,0,0,0,0,1,0,578,57,1.105192,1,1,0.72,0.65
190,'2023/11/30 15:47:08:814',8,0,0,0,0,0,0,0,0,1,0,480,57,1.105192,1,1,0.72,0.65
191,'2023/11/30 15:47:09:119',8,0,0,0,0,0,0,0,0,1,0,400,57,1.105192,1,1,0.72,0.65
192,'2023/11/30 15:47:09:332',8,0,0,0,0,0,0,0,0,1,0,333,57,1.105192,1,1,0.72,0.65
193,'2023/11/30 15:47:09:630',8,0,0,0,0,0,0,0,0,1,0,346,57,1.105192,1,1,0.72,0.65
194,'2023/11/30 15:47:09:836',8,0,0,0,0,0,0,0,0,1,0,452,57,1.105192,1,1,0.72,0.65
195,'2023/11/30 15:47:10:143',8,0,0,0,0,0,0,0,0,0,0,543,57,1.105192,1,1,0.72,0.65
196,'2023/11/30 15:47:10:348',8,0,0,0,0,0,0,0,0,1,0,583,57,1.105192,1,1,0.72,0.65
197,'2023/11/30 15:47:10:655',8,0,0,0,0,0,0,0,0,1,0,583,57,1.105192,1,1,0.72,0.65
198,'2023/11/30 15:47:10:860',8,0,0,0,0,0,0,0,0,1,0,583,57,1.105192,1,1,0.72,0.65
199,'2023/11/30 15:47:11:167',8,0,0,0,0,0,0,0,0,1,0,582,57,1.105192,1,1,0.72,0.65
200,'2023/11/30 15:47:11:372',8,0,0,0,0,0,0,0,0,1,0,582,57,1.105192,1,1,0.72,0.65
201,'2023/11/30 15:47:11:577',8,0,0,0,0,0,0,0,0,1,0,583,57,1.105192,1,1,0.72,0.65
202,'2023/11/30 15:50:00:541',9,0,0,0,0,0,0,1,0,0,0,811,92,1.09833,3,1,-0.008206,0.004735
203,'2023/11/30 15:50:00:851',9,0,0,0,0,0,0,1,0,0,0,810,92,1.09833,3,1,-0.008206,0.004735
204,'2023/11/30 15:50:01:053',9,0,0,0,0,0,0,1,0,0,0,813,92,1.09833,3,1,-0.008206,0.004735
205,'2023/11/30 15:50:01:365',9,0,0,0,0,0,0,0,0,0,0,811,92,1.09833,3,1,-0.008206,0.004735
206,'2023/11/30 15:50:01:564',9,0,0,0,0,0,0,1,0,0,0,810,92,1.09833,3,1,-0.008206,0.004735
207,'2023/11/30 15:50:01:770',9,0,0,0,0,0,0,1,0,0,0,813,92,1.09833,3,1,-0.008206,0.004735
208,'2023/11/30 15:50:02:078',9,0,0,0,0,0,0,1,0,0,0,812,92,1.09833,3,1,-0.008206,0.004735
209,'2023/11/30 15:50:02:282',9,0,0,0,0,0,0,1,0,0,0,811,92,1.09833,3,1,-0.008206,0.004735
210,'2023/11/30 15:50:02:590',9,0,0,0,0,0,0,1,0,0,0,812,92,1.09833,3,1,-0.008206,0.004735
